path_length , path_cost
452.15642097360535,901.0
455.0853531617399,911.0
450.4995667241129,907.0
456.7422074112323,906.0
452.15642097360535,898.0
450.94321753800875,922.0
468.0142853498744,930.0
452.7422074112322,913.0
460.2569260369937,938.0
454.8843430349632,902.0
449.67113959936677,923.0
445.771644662755,910.0
452.499566724113,908.0
454.9432175380089,917.0
442.25692603699366,900.0
438.7005768508895,898.0
447.77164466275497,927.0
450.98484809835156,898.0
451.0853531617399,905.0
440.8427124746205,902.0
445.42849891224745,912.0
450.60007178750124,926.0
443.1858582251281,924.0
441.913780286486,907.0
444.35743110038186,907.0
444.1147904132626,914.0
457.6711395993668,915.0
0.0,0.0
446.6000717875012,914.0
451.0853531617399,909.0
453.91378028648603,905.0
463.08535316173993,907.0
446.74220741123224,913.0
446.8427124746205,901.0
446.2569260369936,904.0
461.0853531617398,918.0
444.60007178750124,904.0
458.84271247462055,930.0
450.3574311003819,919.0
437.5290039756357,912.0
441.2863632885164,915.0
447.771644662755,913.0
449.0853531617398,900.0
456.01428534987434,922.0
456.84271247462055,936.0
446.0142853498743,915.0
439.5290039756357,911.0
449.1858582251282,918.0
447.52900397563576,913.0
460.8427124746206,919.0
457.7716446627551,927.0
458.39906166072467,909.0
458.8427124746206,912.0
464.6000717875013,917.0
452.60007178750124,918.0
447.67113959936665,926.0
450.84271247462044,915.0
454.0142853498744,923.0
445.0853531617398,901.0
442.60007178750124,896.0
450.7422074112323,911.0
461.5706345359785,925.0
459.6711395993668,915.0
442.3574311003819,892.0
445.4284989122474,913.0
456.6000717875013,910.0
446.01428534987434,911.0
464.49956672411304,908.0
442.3574311003819,913.0
448.499566724113,907.0
443.08535316173976,899.0
442.0142853498743,895.0
440.60007178750124,900.0
459.7716446627551,926.0
447.32799384885914,899.0
443.771644662755,925.0
446.2569260369936,920.0
457.0853531617398,911.0
445.18585822512813,906.0
451.4284989122474,914.0
462.2569260369937,921.0
443.6711395993667,893.0
446.7005768508895,921.0
457.08535316173993,909.0
447.771644662755,913.0
448.74220741123224,905.0
443.6711395993667,919.0
448.055915910217,900.0
442.2569260369936,909.0
465.9137802864861,915.0
449.67113959936677,903.0
468.7422074112323,911.0
439.6711395993666,910.0
445.77164466275497,914.0
0.0,0.0
454.25692603699366,914.0
449.67113959936677,913.0
448.6000717875013,914.0
443.4284989122474,906.0
452.25692603699366,913.0
